config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 22 10 8.710340501623143072570439121368670115678293804258773697966217185036872854121946574280969494E-10
(10+2)(17+3) 57600 22 11 1.359325103234922623252806048691377359540369356374822853283886551619882190357476495782474804E-10
(10+2)(17+3) 57600 22 12 1.60459467744679265896838841985958851766472749046917668401442480034257153947295127503728366E-11
(10+2)(17+3) 57600 22 13 1.0767158891788564421884767856784886015311471552431540477028340636982266242234436244763994E-12
(10+2)(17+3) 57600 22 14 0
(10+2)(17+3) 57600 22 15 0
(10+2)(17+3) 57600 22 16 0
(10+2)(17+3) 57600 22 17 0
(10+2)(17+3) 57600 22 18 0
(10+2)(17+3) 57600 22 19 0
(10+2)(17+3) 57600 22 20 0
(10+2)(17+3) 57600 22 21 0
(10+2)(17+3) 57600 22 22 0
(10+2)(17+3) 57600 23 1 0
(10+2)(17+3) 57600 23 2 0
(10+2)(17+3) 57600 23 3 0.0001870697854584557038741227081530243040782568977187821994091091021795785098909153363173680107744705
(10+2)(17+3) 57600 23 4 0.0000308371735430943946022184094170706453594025933543555801597369915665806252371498366638904497022229
(10+2)(17+3) 57600 23 5 0.0000056990219132165350347323998818522144293383875481715066048485794987446843676752904389431146402484
(10+2)(17+3) 57600 23 6 0.0000011817040083384720376825120387483342735185580977747177884832553949927876210354324846861846432727
(10+2)(17+3) 57600 23 7 2.620620685461229121004357021795802414757498404330281756794762071712099035628244346720531549003E-7
(10+2)(17+3) 57600 23 8 5.95266311365189151288446233496092274082893364103102452190169664646735381203792792095740917860E-8
(10+2)(17+3) 57600 23 9 1.33241824150119849191202519816011747260463890706290190445576449548513928443390351572073742239E-8
(10+2)(17+3) 57600 23 10 2.8257363884392229967560471071268565084100882093796886141323687046572942973937328677070389264E-9
(10+2)(17+3) 57600 23 11 5.417249809114553221639504237182637169670421587053470437059004586602342924746590763369901007E-10
(10+2)(17+3) 57600 23 12 8.77994780890517803451070124090483643430264730477775858432169539120682957805229258551728785E-11
(10+2)(17+3) 57600 23 13 1.06998251766309686441660432181756149724505669720443936059535545123616259550373377143422290E-11
(10+2)(17+3) 57600 23 14 7.378153510916929897315607847300779986629141226060625774796892243729913447876450486808485E-13
(10+2)(17+3) 57600 23 15 0
(10+2)(17+3) 57600 23 16 0
(10+2)(17+3) 57600 23 17 0
(10+2)(17+3) 57600 23 18 0
(10+2)(17+3) 57600 23 19 0
(10+2)(17+3) 57600 23 20 0
(10+2)(17+3) 57600 23 21 0
(10+2)(17+3) 57600 23 22 0
(10+2)(17+3) 57600 23 23 0
(10+2)(17+3) 57600 24 1 0
(10+2)(17+3) 57600 24 2 0
(10+2)(17+3) 57600 24 3 0.0003365179330794779999359947551089169565997370555279390248952427653955730350101392379069275672989348
(10+2)(17+3) 57600 24 4 0.0000575059101526776163616742699460777971014833290960886857996093680376549472337443468590230770693063
(10+2)(17+3) 57600 24 5 0.0000110294798234742652848925077659220534178377930467106580980903215484531328275176945300617238399738
(10+2)(17+3) 57600 24 6 0.0000023920323591505632469202697094664632537316171074686623438950323909056791022192541448864410056670
(10+2)(17+3) 57600 24 7 5.607557174633467098034359580046742543440957122340180779569584610138430444411738556216299849696E-7
(10+2)(17+3) 57600 24 8 1.364667969506462223105019301360335786681401227362446042930031815171271814284462982848733646860E-7
(10+2)(17+3) 57600 24 9 3.33082413574812565631030629976771770297999911197543467110165328761044600696359296404127167411E-8
(10+2)(17+3) 57600 24 10 7.8929449080561674990570011880636799786086687781452323010025982094765244585564412772660971321E-9
(10+2)(17+3) 57600 24 11 1.7531502900984927092126426676699357169107333315791794020171806321938175959095170108420739275E-9
(10+2)(17+3) 57600 24 12 3.492146110673538319476082218861574146594169285635796884498321417495520934730834115916263047E-10
(10+2)(17+3) 57600 24 13 5.84520868528064040422404531922687920499277520578718453460732064672075300595276674389004568E-11
(10+2)(17+3) 57600 24 14 7.3221011235710048164508655904461737305398282642425337471761525289080728778547234193389060E-12
(10+2)(17+3) 57600 24 15 5.170588663226587012583124296736248639586930609971610454779094832461312553376698678170256E-13
(10+2)(17+3) 57600 24 16 0
(10+2)(17+3) 57600 24 17 0
(10+2)(17+3) 57600 24 18 0
(10+2)(17+3) 57600 24 19 0
(10+2)(17+3) 57600 24 20 0
(10+2)(17+3) 57600 24 21 0
(10+2)(17+3) 57600 24 22 0
(10+2)(17+3) 57600 24 23 0
(10+2)(17+3) 57600 24 24 0
(10+2)(17+3) 57600 25 1 0
(10+2)(17+3) 57600 25 2 0
(10+2)(17+3) 57600 25 3 0.0005813260219205925493363921351209781161703170455039467713290806193855290311252098726684391922083460
(10+2)(17+3) 57600 25 4 0.0001028312181372698466788261495681758681245442944389976744494467433264295783421179837914826785634304
(10+2)(17+3) 57600 25 5 0.0000203821621205284873429514234931700946671960195925397392257649776913334778489776892532557515891281
(10+2)(17+3) 57600 25 6 0.0000045935477232096808986486296410490352842699963041111557095981168956642508718847723206271122075880
(10+2)(17+3) 57600 25 7 0.0000011282333846396352458111814106002049854410931942769948024979459254799411016624629242069553177567
(10+2)(17+3) 57600 25 8 2.906506679573197557070311231836529286810989997080611932244638717709159627602335073734223919711E-7
(10+2)(17+3) 57600 25 9 7.60853275783220613611553033081631819634682469961367458306191330489697792637879742334748971024E-8
(10+2)(17+3) 57600 25 10 1.96754369055504225668286171366711363928235782186228964213357769445990965139469085774877733323E-8
(10+2)(17+3) 57600 25 11 4.8860120981682394130398818651671354419061655429040839784016466821141515338776743854416087197E-9
(10+2)(17+3) 57600 25 12 1.1281098423625326643557953960830750469594850215564410957724293574455419476080110494628454151E-9
(10+2)(17+3) 57600 25 13 2.321474673875826554744329585753510192923561724317614003969113829964088486146639197935130520E-10
(10+2)(17+3) 57600 25 14 3.99515266437270433788808705247378595511351230294692499522840188206740727078500895417090343E-11
